;;Nationalratswahl vom 01.10.2006 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ÖVP;;;SPÖ;;;FPÖ;;;GRÜNE;;;KPÖ;;;BZÖ;;;MATIN;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;;;;;;;;;;
30544;Zeillern                                ;1.327;88,32;32;1.140;665;58,33;-14,14;208;18,25;2,19;113;9,91;2,78;80;7,02;3,77;4;0,35;0,17;47;4,12;4,12;23;2,02;2,02;;;;;;;;;;;;;;;;;;;;;;;;
306;Bezirk Baden                            ;96.031;78,81;1.331;74.351;21.670;29,15;-9,69;31.305;42,10;-1,13;8.549;11,50;3,28;7.752;10,43;2,19;578;0,78;0,29;1.910;2,57;2,57;2.587;3,48;3,48;;;;;;;;;;;;;;;;;;;;;;;;
30601;Alland                                  ;1.782;78,96;16;1.391;586;42,13;-9,72;411;29,55;0,27;158;11,36;2,14;130;9,35;0,96;6;0,43;0,01;37;2,66;2,66;63;4,53;4,53;;;;;;;;;;;;;;;;;;;;;;;;
30602;Altenmarkt an der Triesting             ;1.488;83,94;34;1.215;572;47,08;-6,58;377;31,03;0,25;112;9,22;1,32;79;6,50;0,57;11;0,91;0,09;30;2,47;2,47;34;2,80;2,80;;;;;;;;;;;;;;;;;;;;;;;;
30603;Bad Vöslau                              ;8.052;78,59;124;6.204;1.824;29,40;-9,83;2.471;39,83;-2,03;710;11,44;3,42;785;12,65;3,17;46;0,74;0,19;139;2,24;2,24;229;3,69;3,69;;;;;;;;;;;;;;;;;;;;;;;;
30604;Baden                                   ;18.459;74,80;233;13.574;5.272;38,84;-10,03;3.688;27,17;-1,41;1.425;10,50;1,66;2.220;16,35;3,99;115;0,85;0,52;385;2,84;2,84;469;3,46;3,46;;;;;;;;;;;;;;;;;;;;;;;;
30605;Berndorf                                ;6.177;76,46;79;4.644;1.006;21,66;-8,36;2.283;49,16;-3,00;632;13,61;4,81;389;8,38;0,95;29;0,62;0,01;119;2,56;2,56;186;4,01;4,01;;;;;;;;;;;;;;;;;;;;;;;;
30607;Ebreichsdorf                            ;6.794;77,08;103;5.134;1.186;23,10;-10,45;2.413;47,00;-0,98;703;13,69;4,92;502;9,78;1,86;31;0,60;-0,04;114;2,22;2,22;185;3,60;3,60;;;;;;;;;;;;;;;;;;;;;;;;
30608;Enzesfeld - Lindabrunn                  ;3.048;83,37;50;2.491;557;22,36;-7,10;1.254;50,34;-2,13;298;11,96;3,83;232;9,31;0,79;23;0,92;0,21;60;2,41;2,41;67;2,69;2,69;;;;;;;;;;;;;;;;;;;;;;;;
30609;Furth an der Triesting                  ;612;86,93;15;517;302;58,41;-8,92;101;19,54;-1,38;53;10,25;3,88;29;5,61;0,83;3;0,58;0,38;9;1,74;1,74;20;3,87;3,87;;;;;;;;;;;;;;;;;;;;;;;;
30612;Günselsdorf                             ;1.273;81,70;19;1.021;211;20,67;-11,40;562;55,04;1,75;117;11,46;2,45;60;5,88;0,84;4;0,39;0,20;28;2,74;2,74;39;3,82;3,82;;;;;;;;;;;;;;;;;;;;;;;;
30613;Heiligenkreuz                           ;1.014;80,28;19;795;343;43,14;-11,23;206;25,91;-1,89;90;11,32;4,06;106;13,33;4,47;4;0,50;-0,24;20;2,52;2,52;26;3,27;3,27;;;;;;;;;;;;;;;;;;;;;;;;
30614;Hernstein                               ;1.136;88,73;22;986;501;50,81;-6,16;292;29,61;-1,72;88;8,92;1,90;59;5,98;2,42;9;0,91;0,40;19;1,93;1,93;18;1,83;1,83;;;;;;;;;;;;;;;;;;;;;;;;
30615;Hirtenberg                              ;1.620;82,65;21;1.318;176;13,35;-11,65;705;53,49;-7,73;256;19,42;11,59;102;7,74;2,09;8;0,61;0,53;27;2,05;2,05;44;3,34;3,34;;;;;;;;;;;;;;;;;;;;;;;;
30616;Klausen - Leopoldsdorf                  ;1.097;76,57;19;821;293;35,69;-11,29;318;38,73;-1,13;101;12,30;6,37;68;8,28;1,87;0;0,00;-0,36;21;2,56;2,56;20;2,44;2,44;;;;;;;;;;;;;;;;;;;;;;;;
