GKZ;Gebietsname;Wahlbe-rechtigte;Stimmen;Ungültige;Gültige;ÖVP;%;SPÖ;%;FPÖ;%;NEOS;%;JETZT;%;GRÜNE;%;KPÖ;%;WANDL;%;BZÖ;%;BIER;%;CPÖ;%;GILT;%;SLP;%
G40445;Überackern;441;250;1;249;130;52,21;36;14,46;53;21,29;11;4,42;4;1,61;15;6,02;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40446;Weng im Innkreis;1.144;705;12;693;296;42,71;100;14,43;201;29,00;31;4,47;4;0,58;60;8,66;0;0,00;1;0,14;;0,00;;0,00;;0,00;;0,00;0;0,00
G40499;Wahlkarten - Braunau am Inn;0;9.740;102;9.638;3.792;39,34;1.707;17,71;1.520;15,77;840;8,72;149;1,55;1.482;15,38;74;0,77;73;0,76;;0,00;;0,00;;0,00;;0,00;1;0,01
G40500;Eferding;25.869;20.908;445;20.463;7.501;36,66;4.454;21,77;4.030;19,69;1.494;7,30;274;1,34;2.533;12,38;86;0,42;84;0,41;;0,00;;0,00;;0,00;;0,00;7;0,03
G40501;Alkoven;4.639;3.273;45;3.228;986;30,55;915;28,35;606;18,77;218;6,75;69;2,14;405;12,55;11;0,34;17;0,53;;0,00;;0,00;;0,00;;0,00;1;0,03
G40502;Aschach an der Donau;1.595;1.018;14;1.004;304;30,28;253;25,20;206;20,52;64;6,37;13;1,29;148;14,74;10;1,00;5;0,50;;0,00;;0,00;;0,00;;0,00;1;0,10
G40503;Eferding;2.927;1.797;22;1.775;605;34,08;447;25,18;323;18,20;139;7,83;24;1,35;221;12,45;8;0,45;7;0,39;;0,00;;0,00;;0,00;;0,00;1;0,06
G40504;Fraham;1.871;1.170;16;1.154;414;35,88;273;23,66;216;18,72;89;7,71;17;1,47;134;11,61;5;0,43;5;0,43;;0,00;;0,00;;0,00;;0,00;1;0,09
G40505;Haibach ob der Donau;1.095;743;14;729;337;46,23;163;22,36;123;16,87;41;5,62;2;0,27;61;8,37;1;0,14;1;0,14;;0,00;;0,00;;0,00;;0,00;0;0,00
G40506;Hartkirchen;3.384;2.426;38;2.388;940;39,36;426;17,84;567;23,74;164;6,87;20;0,84;256;10,72;8;0,34;7;0,29;;0,00;;0,00;;0,00;;0,00;0;0,00
G40507;Hinzenbach;1.620;1.096;21;1.075;424;39,44;236;21,95;202;18,79;70;6,51;16;1,49;120;11,16;5;0,47;2;0,19;;0,00;;0,00;;0,00;;0,00;0;0,00
G40508;Prambachkirchen;2.276;1.473;22;1.451;658;45,35;210;14,47;318;21,92;98;6,75;13;0,90;144;9,92;6;0,41;3;0,21;;0,00;;0,00;;0,00;;0,00;1;0,07
G40509;Pupping;1.455;981;10;971;366;37,69;191;19,67;228;23,48;52;5,36;16;1,65;111;11,43;6;0,62;1;0,10;;0,00;;0,00;;0,00;;0,00;0;0,00
G40510;St. Marienkirchen an der Polsenz;1.899;1.288;20;1.268;472;37,22;278;21,92;272;21,45;83;6,55;15;1,18;140;11,04;6;0,47;2;0,16;;0,00;;0,00;;0,00;;0,00;0;0,00
G40511;Scharten;1.772;1.229;19;1.210;375;30,99;245;20,25;292;24,13;96;7,93;19;1,57;173;14,30;4;0,33;5;0,41;;0,00;;0,00;;0,00;;0,00;1;0,08
G40512;Stroheim;1.336;921;19;902;495;54,88;92;10,20;186;20,62;56;6,21;7;0,78;61;6,76;1;0,11;4;0,44;;0,00;;0,00;;0,00;;0,00;0;0,00
G40599;Wahlkarten - Eferding;0;3.493;185;3.308;1.125;34,01;725;21,92;491;14,84;324;9,79;43;1,30;559;16,90;15;0,45;25;0,76;;0,00;;0,00;;0,00;;0,00;1;0,03
G40600;Freistadt;53.816;44.628;851;43.777;18.623;42,54;9.230;21,08;6.770;15,46;2.646;6,04;532;1,22;5.525;12,62;245;0,56;184;0,42;;0,00;;0,00;;0,00;;0,00;22;0,05
G40601;Freistadt;6.134;4.074;69;4.005;1.431;35,73;945;23,60;641;16,00;251;6,27;58;1,45;626;15,63;31;0,77;19;0,47;;0,00;;0,00;;0,00;;0,00;3;0,07
G40602;Grünbach;1.572;985;17;968;418;43,18;185;19,11;193;19,94;58;5,99;8;0,83;92;9,50;5;0,52;7;0,72;;0,00;;0,00;;0,00;;0,00;2;0,21
G40603;Gutau;2.237;1.601;17;1.584;719;45,39;372;23,48;238;15,03;51;3,22;20;1,26;173;10,92;4;0,25;7;0,44;;0,00;;0,00;;0,00;;0,00;0;0,00
G40604;Hagenberg im Mühlkreis;2.249;1.455;20;1.435;452;31,50;320;22,30;253;17,63;108;7,53;32;2,23;255;17,77;10;0,70;5;0,35;;0,00;;0,00;;0,00;;0,00;0;0,00
G40605;Hirschbach im Mühlkreis;958;630;6;624;301;48,24;101;16,19;60;9,62;62;9,94;6;0,96;83;13,30;10;1,60;1;0,16;;0,00;;0,00;;0,00;;0,00;0;0,00
G40606;Kaltenberg;499;425;4;421;304;72,21;20;4,75;65;15,44;21;4,99;0;0,00;11;2,61;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40607;Kefermarkt;1.713;1.209;29;1.180;492;41,69;293;24,83;194;16,44;54;4,58;8;0,68;125;10,59;9;0,76;4;0,34;;0,00;;0,00;;0,00;;0,00;1;0,08
G40608;Königswiesen;2.511;1.730;30;1.700;943;55,47;238;14,00;331;19,47;64;3,76;7;0,41;109;6,41;5;0,29;3;0,18;;0,00;;0,00;;0,00;;0,00;0;0,00
G40609;Lasberg;2.328;1.640;32;1.608;776;48,26;280;17,41;223;13,87;106;6,59;29;1,80;181;11,26;7;0,44;5;0,31;;0,00;;0,00;;0,00;;0,00;1;0,06
G40610;Leopoldschlag;832;599;21;578;314;54,33;76;13,15;92;15,92;31;5,36;3;0,52;57;9,86;2;0,35;3;0,52;;0,00;;0,00;;0,00;;0,00;0;0,00
G40611;Liebenau;1.335;908;20;888;526;59,23;152;17,12;143;16,10;27;3,04;4;0,45;30;3,38;4;0,45;2;0,23;;0,00;;0,00;;0,00;;0,00;0;0,00
G40612;Neumarkt im Mühlkreis;2.581;1.781;43;1.738;712;40,97;361;20,77;239;13,75;113;6,50;25;1,44;258;14,84;18;1,04;12;0,69;;0,00;;0,00;;0,00;;0,00;0;0,00
G40613;Pierbach;805;596;20;576;297;51,56;91;15,80;132;22,92;23;3,99;2;0,35;28;4,86;0;0,00;3;0,52;;0,00;;0,00;;0,00;;0,00;0;0,00
G40614;Pregarten;4.415;3.012;55;2.957;1.107;37,44;733;24,79;522;17,65;181;6,12;33;1,12;357;12,07;12;0,41;9;0,30;;0,00;;0,00;;0,00;;0,00;3;0,10
G40615;Rainbach im Mühlkreis;2.349;1.553;43;1.510;722;47,81;300;19,87;183;12,12;92;6,09;17;1,13;175;11,59;12;0,79;8;0,53;;0,00;;0,00;;0,00;;0,00;1;0,07
G40616;Sandl;1.152;834;21;813;325;39,98;223;27,43;124;15,25;46;5,66;8;0,98;78;9,59;7;0,86;2;0,25;;0,00;;0,00;;0,00;;0,00;0;0,00
G40617;St. Leonhard bei Freistadt;1.153;816;13;803;400;49,81;188;23,41;120;14,94;25;3,11;8;1,00;51;6,35;5;0,62;6;0,75;;0,00;;0,00;;0,00;;0,00;0;0,00
G40618;St. Oswald bei Freistadt;2.328;1.599;41;1.558;679;43,58;379;24,33;285;18,29;73;4,69;23;1,48;104;6,68;4;0,26;11;0,71;;0,00;;0,00;;0,00;;0,00;0;0,00
G40619;Schönau im Mühlkreis;1.567;1.199;27;1.172;649;55,38;197;16,81;193;16,47;46;3,92;5;0,43;76;6,48;4;0,34;2;0,17;;0,00;;0,00;;0,00;;0,00;0;0,00
G40620;Tragwein;2.498;1.803;27;1.776;690;38,85;469;26,41;280;15,77;105;5,91;22;1,24;199;11,20;6;0,34;4;0,23;;0,00;;0,00;;0,00;;0,00;1;0,06
G40621;Unterweißenbach;1.775;1.223;26;1.197;670;55,97;166;13,87;241;20,13;43;3,59;4;0,33;68;5,68;3;0,25;2;0,17;;0,00;;0,00;;0,00;;0,00;0;0,00
G40622;Unterweitersdorf;1.757;1.242;30;1.212;396;32,67;367;30,28;179;14,77;84;6,93;21;1,73;152;12,54;4;0,33;9;0,74;;0,00;;0,00;;0,00;;0,00;0;0,00
G40623;Waldburg;1.120;762;7;755;331;43,84;136;18,01;109;14,44;55;7,28;14;1,85;101;13,38;3;0,40;5;0,66;;0,00;;0,00;;0,00;;0,00;1;0,13
G40624;Wartberg ob der Aist;3.516;2.316;32;2.284;769;33,67;563;24,65;397;17,38;138;6,04;32;1,40;356;15,59;19;0,83;9;0,39;;0,00;;0,00;;0,00;;0,00;1;0,04
G40625;Weitersfelden;826;574;15;559;308;55,10;94;16,82;71;12,70;30;5,37;2;0,36;47;8,41;6;1,07;1;0,18;;0,00;;0,00;;0,00;;0,00;0;0,00
G40626;Windhaag bei Freistadt;1.263;863;22;841;453;53,86;159;18,91;91;10,82;49;5,83;3;0,36;82;9,75;2;0,24;1;0,12;;0,00;;0,00;;0,00;;0,00;1;0,12
G40627;Bad Zell;2.343;1.693;43;1.650;780;47,27;244;14,79;256;15,52;86;5,21;11;0,67;257;15,58;6;0,36;9;0,55;;0,00;;0,00;;0,00;;0,00;1;0,06
G40699;Wahlkarten - Freistadt;0;7.506;121;7.385;2.659;36,01;1.578;21,37;915;12,39;624;8,45;127;1,72;1.394;18,88;47;0,64;35;0,47;;0,00;;0,00;;0,00;;0,00;6;0,08
G40700;Gmunden;78.454;60.820;1.068;59.752;20.878;34,94;15.144;25,34;9.327;15,61;4.524;7,57;1.029;1,72;8.165;13,66;367;0,61;288;0,48;;0,00;;0,00;;0,00;;0,00;30;0,05
G40701;Altmünster;7.779;4.960;112;4.848;1.857;38,30;1.080;22,28;721;14,87;446;9,20;80;1,65;627;12,93;18;0,37;18;0,37;;0,00;;0,00;;0,00;;0,00;1;0,02
G40702;Bad Goisern am Hallstättersee;6.157;3.730;102;3.628;1.023;28,20;1.284;35,39;584;16,10;224;6,17;66;1,82;380;10,47;42;1,16;23;0,63;;0,00;;0,00;;0,00;;0,00;2;0,06
G40703;Bad Ischl;10.750;6.076;117;5.959;2.043;34,28;1.547;25,96;904;15,17;468;7,85;116;1,95;800;13,43;42;0,70;37;0,62;;0,00;;0,00;;0,00;;0,00;2;0,03
G40704;Ebensee am Traunsee;6.260;4.085;80;4.005;1.234;30,81;1.310;32,71;694;17,33;169;4,22;95;2,37;458;11,44;31;0,77;14;0,35;;0,00;;0,00;;0,00;;0,00;0;0,00
G40705;Gmunden;9.732;5.449;78;5.371;1.926;35,86;1.111;20,69;789;14,69;519;9,66;106;1,97;861;16,03;31;0,58;23;0,43;;0,00;;0,00;;0,00;;0,00;5;0,09
G40706;Gosau;1.427;927;36;891;310;34,79;339;38,05;110;12,35;56;6,29;14;1,57;53;5,95;3;0,34;5;0,56;;0,00;;0,00;;0,00;;0,00;1;0,11
G40707;Grünau im Almtal;1.622;1.033;19;1.014;376;37,08;256;25,25;210;20,71;60;5,92;14;1,38;88;8,68;4;0,39;5;0,49;;0,00;;0,00;;0,00;;0,00;1;0,10
G40708;Gschwandt;2.230;1.532;21;1.511;604;39,97;291;19,26;258;17,07;115;7,61;18;1,19;209;13,83;8;0,53;5;0,33;;0,00;;0,00;;0,00;;0,00;3;0,20
G40709;Hallstatt;579;385;5;380;85;22,37;171;45,00;32;8,42;17;4,47;8;2,11;62;16,32;3;0,79;2;0,53;;0,00;;0,00;;0,00;;0,00;0;0,00
G40710;Kirchham;1.724;1.120;24;1.096;567;51,73;139;12,68;221;20,16;53;4,84;12;1,09;96;8,76;4;0,36;4;0,36;;0,00;;0,00;;0,00;;0,00;0;0,00
G40711;Laakirchen;7.075;4.419;92;4.327;1.314;30,37;1.422;32,86;768;17,75;251;5,80;82;1,90;446;10,31;25;0,58;16;0,37;;0,00;;0,00;;0,00;;0,00;3;0,07
G40712;Obertraun;552;378;10;368;107;29,08;173;47,01;18;4,89;15;4,08;5;1,36;41;11,14;7;1,90;2;0,54;;0,00;;0,00;;0,00;;0,00;0;0,00
G40713;Ohlsdorf;4.074;2.623;49;2.574;908;35,28;612;23,78;512;19,89;157;6,10;34;1,32;321;12,47;19;0,74;8;0,31;;0,00;;0,00;;0,00;;0,00;3;0,12
G40714;Pinsdorf;3.018;1.867;39;1.828;602;32,93;457;25,00;376;20,57;131;7,17;34;1,86;210;11,49;13;0,71;4;0,22;;0,00;;0,00;;0,00;;0,00;1;0,05
G40715;Roitham am Traunfall;1.581;986;12;974;379;38,91;228;23,41;218;22,38;52;5,34;9;0,92;79;8,11;4;0,41;4;0,41;;0,00;;0,00;;0,00;;0,00;1;0,10
G40716;St. Konrad;896;616;7;609;288;47,29;125;20,53;110;18,06;30;4,93;6;0,99;44;7,22;2;0,33;4;0,66;;0,00;;0,00;;0,00;;0,00;0;0,00
G40717;St. Wolfgang im Salzkammergut;2.126;1.276;18;1.258;633;50,32;274;21,78;157;12,48;51;4,05;22;1,75;108;8,59;9;0,72;4;0,32;;0,00;;0,00;;0,00;;0,00;0;0,00
G40718;Traunkirchen;1.351;833;12;821;349;42,51;175;21,32;78;9,50;55;6,70;16;1,95;141;17,17;3;0,37;4;0,49;;0,00;;0,00;;0,00;;0,00;0;0,00
G40719;Scharnstein;3.774;2.361;41;2.320;790;34,05;575;24,78;415;17,89;174;7,50;39;1,68;303;13,06;11;0,47;13;0,56;;0,00;;0,00;;0,00;;0,00;0;0,00
G40720;Vorchdorf;5.747;3.810;54;3.756;1.328;35,36;822;21,88;771;20,53;259;6,90;52;1,38;494;13,15;14;0,37;15;0,40;;0,00;;0,00;;0,00;;0,00;1;0,03
G40799;Wahlkarten - Gmunden;0;12.354;140;12.214;4.155;34,02;2.753;22,54;1.381;11,31;1.222;10,00;201;1,65;2.344;19,19;74;0,61;78;0,64;;0,00;;0,00;;0,00;;0,00;6;0,05
G40800;Grieskirchen;50.592;40.380;710;39.670;16.571;41,77;6.712;16,92;8.057;20,31;2.694;6,79;453;1,14;4.854;12,24;146;0,37;173;0,44;;0,00;;0,00;;0,00;;0,00;10;0,03
G40801;Aistersheim;714;441;10;431;161;37,35;58;13,46;125;29,00;31;7,19;2;0,46;49;11,37;1;0,23;4;0,93;;0,00;;0,00;;0,00;;0,00;0;0,00
G40802;Bad Schallerbach;3.086;1.794;21;1.773;598;33,73;388;21,88;371;20,92;161;9,08;24;1,35;214;12,07;10;0,56;7;0,39;;0,00;;0,00;;0,00;;0,00;0;0,00
G40804;Eschenau im Hausruckkreis;897;663;18;645;385;59,69;56;8,68;137;21,24;23;3,57;2;0,31;39;6,05;1;0,16;1;0,16;;0,00;;0,00;;0,00;;0,00;1;0,16
G40805;Gallspach;1.838;1.079;10;1.069;359;33,58;233;21,80;297;27,78;60;5,61;8;0,75;103;9,64;3;0,28;6;0,56;;0,00;;0,00;;0,00;;0,00;0;0,00
G40806;Gaspoltshofen;2.842;1.661;47;1.614;594;36,80;251;15,55;422;26,15;125;7,74;29;1,80;178;11,03;6;0,37;8;0,50;;0,00;;0,00;;0,00;;0,00;1;0,06
G40807;Geboltskirchen;1.160;792;15;777;301;38,74;177;22,78;148;19,05;39;5,02;10;1,29;94;12,10;3;0,39;5;0,64;;0,00;;0,00;;0,00;;0,00;0;0,00
G40808;Grieskirchen;3.522;2.160;36;2.124;748;35,22;464;21,85;426;20,06;149;7,02;24;1,13;291;13,70;9;0,42;13;0,61;;0,00;;0,00;;0,00;;0,00;0;0,00
G40809;Haag am Hausruck;1.662;1.080;14;1.066;407;38,18;200;18,76;200;18,76;86;8,07;11;1,03;155;14,54;2;0,19;4;0,38;;0,00;;0,00;;0,00;;0,00;1;0,09
G40810;Heiligenberg;569;449;4;445;275;61,80;21;4,72;94;21,12;23;5,17;1;0,22;29;6,52;2;0,45;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40811;Hofkirchen an der Trattnach;1.241;821;18;803;352;43,84;113;14,07;182;22,67;53;6,60;8;1,00;87;10,83;5;0,62;3;0,37;;0,00;;0,00;;0,00;;0,00;0;0,00
G40812;Kallham;2.060;1.250;28;1.222;538;44,03;215;17,59;256;20,95;60;4,91;10;0,82;133;10,88;6;0,49;3;0,25;;0,00;;0,00;;0,00;;0,00;1;0,08
G40813;Kematen am Innbach;1.079;726;15;711;261;36,71;117;16,46;216;30,38;41;5,77;14;1,97;60;8,44;2;0,28;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40814;Meggenhofen;1.187;785;22;763;361;47,31;102;13,37;121;15,86;62;8,13;8;1,05;103;13,50;3;0,39;3;0,39;;0,00;;0,00;;0,00;;0,00;0;0,00
G40815;Michaelnbach;1.034;637;14;623;356;57,14;72;11,56;107;17,17;28;4,49;8;1,28;50;8,03;1;0,16;1;0,16;;0,00;;0,00;;0,00;;0,00;0;0,00
G40816;Natternbach;1.870;1.272;32;1.240;596;48,06;230;18,55;247;19,92;51;4,11;10;0,81;99;7,98;2;0,16;4;0,32;;0,00;;0,00;;0,00;;0,00;1;0,08
G40817;Neukirchen am Walde;1.334;971;14;957;460;48,07;144;15,05;204;21,32;59;6,17;7;0,73;76;7,94;3;0,31;4;0,42;;0,00;;0,00;;0,00;;0,00;0;0,00
G40818;Neumarkt im Hausruckkreis;1.101;649;11;638;222;34,80;163;25,55;153;23,98;24;3,76;8;1,25;59;9,25;5;0,78;4;0,63;;0,00;;0,00;;0,00;;0,00;0;0,00
G40820;Pötting;455;333;2;331;206;62,24;33;9,97;46;13,90;26;7,85;4;1,21;16;4,83;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40821;Pollham;788;478;10;468;221;47,22;59;12,61;73;15,60;30;6,41;8;1,71;76;16,24;1;0,21;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40822;Pram;1.351;836;17;819;290;35,41;127;15,51;225;27,47;52;6,35;10;1,22;106;12,94;3;0,37;5;0,61;;0,00;;0,00;;0,00;;0,00;1;0,12
G40823;Rottenbach;846;557;13;544;182;33,46;89;16,36;174;31,99;30;5,51;8;1,47;51;9,38;6;1,10;4;0,74;;0,00;;0,00;;0,00;;0,00;0;0,00
G40824;St. Agatha;1.746;1.223;27;1.196;657;54,93;142;11,87;232;19,40;70;5,85;11;0,92;75;6,27;5;0,42;4;0,33;;0,00;;0,00;;0,00;;0,00;0;0,00
G40825;St. Georgen bei Grieskirchen;1.084;700;9;691;263;38,06;124;17,95;137;19,83;52;7,53;10;1,45;97;14,04;4;0,58;4;0,58;;0,00;;0,00;;0,00;;0,00;0;0,00
G40826;St. Thomas;432;301;5;296;151;51,01;42;14,19;56;18,92;9;3,04;7;2,36;27;9,12;1;0,34;3;1,01;;0,00;;0,00;;0,00;;0,00;0;0,00
G40827;Schlüßlberg;2.377;1.572;27;1.545;534;34,56;439;28,41;281;18,19;87;5,63;18;1,17;171;11,07;10;0,65;5;0,32;;0,00;;0,00;;0,00;;0,00;0;0,00
G40828;Steegen;916;555;9;546;273;50,00;65;11,90;107;19,60;26;4,76;4;0,73;65;11,90;1;0,18;5;0,92;;0,00;;0,00;;0,00;;0,00;0;0,00
G40829;Taufkirchen an der Trattnach;1.612;1.044;16;1.028;436;42,41;156;15,18;271;26,36;42;4,09;9;0,88;105;10,21;6;0,58;3;0,29;;0,00;;0,00;;0,00;;0,00;0;0,00
G40830;Tollet;762;511;5;506;210;41,50;88;17,39;83;16,40;44;8,70;5;0,99;74;14,62;1;0,20;1;0,20;;0,00;;0,00;;0,00;;0,00;0;0,00
G40831;Waizenkirchen;2.918;1.976;24;1.952;938;48,05;243;12,45;396;20,29;117;5,99;26;1,33;218;11,17;7;0,36;7;0,36;;0,00;;0,00;;0,00;;0,00;0;0,00
G40832;Wallern an der Trattnach;2.392;1.552;23;1.529;540;35,32;324;21,19;326;21,32;111;7,26;23;1,50;193;12,62;5;0,33;7;0,46;;0,00;;0,00;;0,00;;0,00;0;0,00
G40833;Weibern;1.300;828;20;808;399;49,38;108;13,37;120;14,85;67;8,29;4;0,50;108;13,37;1;0,12;1;0,12;;0,00;;0,00;;0,00;;0,00;0;0,00
G40834;Wendling;688;439;5;434;204;47,00;56;12,90;109;25,12;17;3,92;2;0,46;43;9,91;1;0,23;1;0,23;;0,00;;0,00;;0,00;;0,00;1;0,23
G40835;Peuerbach;3.729;2.339;31;2.308;1.107;47,96;306;13,26;440;19,06;173;7,50;23;1,00;238;10,31;9;0,39;12;0,52;;0,00;;0,00;;0,00;;0,00;0;0,00
G40899;Wahlkarten - Grieskirchen;0;7.906;138;7.768;2.986;38,44;1.307;16,83;1.275;16,41;666;8,57;97;1,25;1.372;17,66;21;0,27;41;0,53;;0,00;;0,00;;0,00;;0,00;3;0,04
G40900;Kirchdorf an der Krems;43.478;33.808;504;33.304;12.971;38,95;6.748;20,26;6.223;18,69;2.422;7,27;435;1,31;4.160;12,49;148;0,44;189;0,57;;0,00;;0,00;;0,00;;0,00;8;0,02
G40901;Edlbach;503;316;3;313;161;51,44;52;16,61;51;16,29;25;7,99;0;0,00;22;7,03;1;0,32;1;0,32;;0,00;;0,00;;0,00;;0,00;0;0,00
G40902;Grünburg;2.940;1.746;32;1.714;652;38,04;419;24,45;389;22,70;70;4,08;21;1,23;148;8,63;9;0,53;6;0,35;;0,00;;0,00;;0,00;;0,00;0;0,00
G40903;Hinterstoder;720;446;7;439;215;48,97;52;11,85;89;20,27;34;7,74;7;1,59;39;8,88;2;0,46;1;0,23;;0,00;;0,00;;0,00;;0,00;0;0,00
G40904;Inzersdorf im Kremstal;1.507;956;26;930;380;40,86;158;16,99;183;19,68;59;6,34;16;1,72;125;13,44;5;0,54;4;0,43;;0,00;;0,00;;0,00;;0,00;0;0,00
G40905;Kirchdorf an der Krems;3.267;1.940;26;1.914;559;29,21;539;28,16;288;15,05;136;7,11;32;1,67;342;17,87;7;0,37;8;0,42;;0,00;;0,00;;0,00;;0,00;3;0,16
G40906;Klaus an der Pyhrnbahn;805;531;14;517;161;31,14;204;39,46;87;16,83;21;4,06;4;0,77;37;7,16;2;0,39;1;0,19;;0,00;;0,00;;0,00;;0,00;0;0,00
G40907;Kremsmünster;4.708;2.963;42;2.921;1.226;41,97;445;15,23;519;17,77;271;9,28;33;1,13;397;13,59;15;0,51;15;0,51;;0,00;;0,00;;0,00;;0,00;0;0,00
G40908;Micheldorf in Oberösterreich;4.513;2.917;37;2.880;941;32,67;780;27,08;514;17,85;200;6,94;44;1,53;370;12,85;12;0,42;17;0,59;;0,00;;0,00;;0,00;;0,00;2;0,07
G40909;Molln;2.773;1.811;28;1.783;635;35,61;447;25,07;359;20,13;112;6,28;21;1,18;191;10,71;10;0,56;8;0,45;;0,00;;0,00;;0,00;;0,00;0;0,00
G40910;Nußbach;1.833;1.231;13;1.218;625;51,31;192;15,76;158;12,97;98;8,05;10;0,82;125;10,26;3;0,25;7;0,57;;0,00;;0,00;;0,00;;0,00;0;0,00
G40911;Oberschlierbach;369;265;2;263;135;51,33;34;12,93;29;11,03;17;6,46;2;0,76;44;16,73;0;0,00;2;0,76;;0,00;;0,00;;0,00;;0,00;0;0,00
G40912;Pettenbach;4.057;2.685;48;2.637;1.004;38,07;417;15,81;661;25,07;189;7,17;23;0,87;321;12,17;13;0,49;9;0,34;;0,00;;0,00;;0,00;;0,00;0;0,00
G40913;Ried im Traunkreis;2.158;1.430;20;1.410;670;47,52;161;11,42;333;23,62;92;6,52;19;1,35;123;8,72;1;0,07;11;0,78;;0,00;;0,00;;0,00;;0,00;0;0,00
G40914;Rosenau am Hengstpaß;491;306;4;302;102;33,77;103;34,11;64;21,19;14;4,64;4;1,32;9;2,98;3;0,99;3;0,99;;0,00;;0,00;;0,00;;0,00;0;0,00
G40915;Roßleithen;1.485;907;18;889;397;44,66;183;20,58;186;20,92;42;4,72;7;0,79;64;7,20;3;0,34;6;0,67;;0,00;;0,00;;0,00;;0,00;1;0,11
G40916;St. Pankraz;278;176;3;173;50;28,90;31;17,92;67;38,73;9;5,20;2;1,16;13;7,51;1;0,58;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40917;Schlierbach;2.183;1.416;15;1.401;537;38,33;232;16,56;260;18,56;129;9,21;17;1,21;216;15,42;8;0,57;2;0,14;;0,00;;0,00;;0,00;;0,00;0;0,00
G40918;Spital am Pyhrn;1.758;1.061;10;1.051;421;40,06;235;22,36;267;25,40;49;4,66;11;1,05;63;5,99;2;0,19;2;0,19;;0,00;;0,00;;0,00;;0,00;1;0,10
G40919;Steinbach am Ziehberg;686;451;7;444;206;46,40;75;16,89;79;17,79;32;7,21;6;1,35;38;8,56;5;1,13;3;0,68;;0,00;;0,00;;0,00;;0,00;0;0,00
G40920;Steinbach an der Steyr;1.603;1.092;11;1.081;535;49,49;220;20,35;181;16,74;44;4,07;17;1,57;78;7,22;1;0,09;4;0,37;;0,00;;0,00;;0,00;;0,00;1;0,09
G40921;Vorderstoder;662;408;12;396;219;55,30;39;9,85;81;20,45;23;5,81;2;0,51;31;7,83;1;0,25;0;0,00;;0,00;;0,00;;0,00;;0,00;0;0,00
G40922;Wartberg an der Krems;2.304;1.502;21;1.481;682;46,05;234;15,80;260;17,56;105;7,09;12;0,81;170;11,48;8;0,54;10;0,68;;0,00;;0,00;;0,00;;0,00;0;0,00
G40923;Windischgarsten;1.875;1.087;23;1.064;423;39,76;254;23,87;193;18,14;72;6,77;18;1,69;96;9,02;4;0,38;4;0,38;;0,00;;0,00;;0,00;;0,00;0;0,00
G40999;Wahlkarten - Kirchdorf an der Krems;0;6.165;82;6.083;2.035;33,45;1.242;20,42;925;15,21;579;9,52;107;1,76;1.098;18,05;32;0,53;65;1,07;;0,00;;0,00;;0,00;;0,00;0;0,00
G41000;Linz-Land;107.635;83.273;1.067;82.206;25.574;31,11;22.406;27,26;13.863;16,86;6.997;8,51;1.260;1,53;11.290;13,73;415;0,50;372;0,45;;0,00;;0,00;;0,00;;0,00;29;0,04
G41001;Allhaming;928;637;6;631;283;44,85;97;15,37;112;17,75;56;8,87;5;0,79;71;11,25;2;0,32;5;0,79;;0,00;;0,00;;0,00;;0,00;0;0,00
G41002;Ansfelden;10.867;6.569;94;6.475;1.604;24,77;2.130;32,90;1.649;25,47;369;5,70;94;1,45;578;8,93;28;0,43;22;0,34;;0,00;;0,00;;0,00;;0,00;1;0,02
G41003;Asten;4.672;2.994;44;2.950;797;27,02;1.020;34,58;648;21,97;176;5,97;38;1,29;246;8,34;13;0,44;10;0,34;;0,00;;0,00;;0,00;;0,00;2;0,07
G41004;Eggendorf im Traunkreis;748;490;4;486;202;41,56;98;20,16;85;17,49;37;7,61;9;1,85;49;10,08;3;0,62;3;0,62;;0,00;;0,00;;0,00;;0,00;0;0,00
G41005;Enns;7.954;4.996;56;4.940;1.521;30,79;1.480;29,96;782;15,83;367;7,43;86;1,74;642;13,00;33;0,67;27;0,55;;0,00;;0,00;;0,00;;0,00;2;0,04
G41006;Hargelsberg;1.074;758;9;749;301;40,19;165;22,03;114;15,22;67;8,95;13;1,74;83;11,08;4;0,53;1;0,13;;0,00;;0,00;;0,00;;0,00;1;0,13
G41007;Hörsching;4.546;2.996;46;2.950;995;33,73;747;25,32;594;20,14;233;7,90;41;1,39;308;10,44;16;0,54;15;0,51;;0,00;;0,00;;0,00;;0,00;1;0,03
G41008;Hofkirchen im Traunkreis;1.433;942;19;923;297;32,18;212;22,97;150;16,25;108;11,70;15;1,63;132;14,30;2;0,22;6;0,65;;0,00;;0,00;;0,00;;0,00;1;0,11
G41009;Kematen an der Krems;2.086;1.315;20;1.295;511;39,46;268;20,69;258;19,92;108;8,34;20;1,54;116;8,96;7;0,54;7;0,54;;0,00;;0,00;;0,00;;0,00;0;0,00
