;;Nationalratswahl vom 28.09.2008 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;Bezirk Hollabrunn                       ;40.959;84,19;980;33.505;9.254;27,62;-4,09;14.269;42,59;-6,52;1.992;5,95;-0,16;5.080;15,16;7,17;1.652;4,93;3,21;232;0,69;0,69;379;1,13;1,13;152;0,45;-0,17;151;0,45;0,45;344;1,03;1,03;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;32;2.113;607;28,73;28,73;834;39,47;39,47;205;9,70;9,70;305;14,43;14,43;62;2,93;2,93;16;0,76;0,76;41;1,94;1,94;8;0,38;0,38;10;0,47;0,47;25;1,18;1,18;;;;;;;;;;;;;;;
31001;Alberndorf im Pulkautal                 ;602;78,57;17;456;159;34,87;-3,89;154;33,77;-4,99;17;3,73;-1,20;89;19,52;7,74;16;3,51;1,80;3;0,66;0,66;5;1,10;1,10;3;0,66;0,23;0;0,00;0,00;10;2,19;2,19;;;;;;;;;;;;;;;
31008;Göllersdorf                             ;2.298;80,03;61;1.778;436;24,52;-5,90;735;41,34;-6,39;126;7,09;0,29;323;18,17;8,49;77;4,33;2,34;16;0,90;0,90;25;1,41;1,41;9;0,51;-0,32;8;0,45;0,45;23;1,29;1,29;;;;;;;;;;;;;;;
31009;Grabern                                 ;1.138;82,86;30;913;197;21,58;-3,13;444;48,63;-9,07;44;4,82;-0,58;127;13,91;6,67;55;6,02;5,10;5;0,55;0,55;7;0,77;0,77;7;0,77;0,08;11;1,20;1,20;16;1,75;1,75;;;;;;;;;;;;;;;
31014;Guntersdorf                             ;924;82,58;22;741;186;25,10;-3,27;341;46,02;-8,13;27;3,64;-0,12;109;14,71;5,77;56;7,56;6,01;4;0,54;0,54;5;0,67;0,67;4;0,54;-0,24;5;0,67;0,67;4;0,54;0,54;;;;;;;;;;;;;;;
31015;Hadres                                  ;1.433;81,93;31;1.143;335;29,31;-3,76;514;44,97;-3,94;41;3,59;-0,24;156;13,65;5,90;56;4,90;2,72;10;0,87;0,87;11;0,96;0,96;8;0,70;-0,08;1;0,09;0,09;11;0,96;0,96;;;;;;;;;;;;;;;
31016;Hardegg                                 ;1.149;80,59;23;903;219;24,25;-3,18;505;55,92;-5,90;17;1,88;-1,60;92;10,19;5,79;50;5,54;4,62;4;0,44;0,44;7;0,78;0,78;4;0,44;0,03;0;0,00;0,00;5;0,55;0,55;;;;;;;;;;;;;;;
31018;Haugsdorf                               ;1.383;79,39;40;1.058;374;35,35;-4,52;393;37,15;-3,18;40;3,78;-1,28;182;17,20;7,53;39;3,69;2,31;5;0,47;0,47;11;1,04;1,04;2;0,19;-0,18;1;0,09;0,09;11;1,04;1,04;;;;;;;;;;;;;;;
31019;Heldenberg                              ;948;82,38;28;753;154;20,45;-4,55;369;49,00;-9,29;50;6,64;1,48;118;15,67;9,01;38;5,05;3,96;4;0,53;0,53;8;1,06;1,06;4;0,53;-0,15;2;0,27;0,27;6;0,80;0,80;;;;;;;;;;;;;;;
31021;Hohenwarth - Mühlbach am Manhartsberg   ;1.034;80,75;36;799;198;24,78;-2,89;403;50,44;-7,24;35;4,38;-1,13;96;12,02;6,86;33;4,13;2,84;7;0,88;0,88;8;1,00;1,00;6;0,75;0,16;1;0,13;0,13;12;1,50;1,50;;;;;;;;;;;;;;;
31022;Hollabrunn                              ;8.859;77,25;178;6.666;1.701;25,52;-3,48;2.536;38,04;-7,50;536;8,04;-0,41;1.243;18,65;6,98;370;5,55;3,94;51;0,77;0,77;85;1,28;1,28;31;0,47;-0,36;32;0,48;0,48;81;1,22;1,22;;;;;;;;;;;;;;;
31025;Mailberg                                ;495;82,63;11;398;145;36,43;-5,61;137;34,42;-8,61;14;3,52;-0,96;72;18,09;11,12;19;4,77;3,53;3;0,75;0,75;1;0,25;0,25;2;0,50;0,25;2;0,50;0,50;3;0,75;0,75;;;;;;;;;;;;;;;
31026;Maissau                                 ;1.584;77,97;23;1.212;328;27,06;-4,98;519;42,82;-6,44;74;6,11;-0,73;173;14,27;7,76;63;5,20;3,47;10;0,83;0,83;15;1,24;1,24;5;0,41;-0,17;5;0,41;0,41;20;1,65;1,65;;;;;;;;;;;;;;;
31028;Nappersdorf - Kammersdorf               ;1.089;80,62;20;858;202;23,54;-2,54;385;44,87;-8,35;46;5,36;-0,14;148;17,25;8,01;50;5,83;3,14;7;0,82;0,82;9;1,05;1,05;3;0,35;0,12;1;0,12;0,12;7;0,82;0,82;;;;;;;;;;;;;;;
31033;Pernersdorf                             ;863;77,29;19;648;237;36,57;-7,44;237;36,57;-4,60;23;3,55;0,41;91;14,04;7,60;36;5,56;3,02;7;1,08;1,08;9;1,39;1,39;3;0,46;0,01;2;0,31;0,31;3;0,46;0,46;;;;;;;;;;;;;;;
31035;Pulkau                                  ;1.294;82,30;23;1.042;303;29,08;-3,27;513;49,23;-5,15;47;4,51;-0,10;112;10,75;6,14;31;2,98;1,78;5;0,48;0,48;7;0,67;0,67;5;0,48;0,02;9;0,86;0,86;10;0,96;0,96;;;;;;;;;;;;;;;
31036;Ravelsbach                              ;1.421;75,16;35;1.033;296;28,65;-5,35;441;42,69;-7,83;49;4,74;-0,96;148;14,33;9,77;57;5,52;4,19;6;0,58;0,58;23;2,23;2,23;5;0,48;0,20;3;0,29;0,29;5;0,48;0,48;;;;;;;;;;;;;;;
31037;Retz                                    ;3.508;73,63;82;2.501;678;27,11;-4,82;1.139;45,54;-4,82;197;7,88;0,39;271;10,84;5,56;119;4,76;3,13;22;0,88;0,88;39;1,56;1,56;7;0,28;-0,56;9;0,36;0,36;20;0,80;0,80;;;;;;;;;;;;;;;
31038;Retzbach                                ;869;80,78;30;672;158;23,51;-3,65;328;48,81;-5,37;35;5,21;-0,92;77;11,46;5,19;46;6,85;4,90;7;1,04;1,04;3;0,45;0,45;6;0,89;0,33;0;0,00;0,00;12;1,79;1,79;;;;;;;;;;;;;;;
31041;Schrattenthal                           ;723;85,62;20;599;188;31,39;-5,20;293;48,91;-2,52;32;5,34;-0,22;47;7,85;5,32;34;5,68;3,32;0;0,00;0,00;2;0,33;0,33;0;0,00;-0,34;2;0,33;0,33;1;0,17;0,17;;;;;;;;;;;;;;;
31042;Seefeld - Kadolz                        ;819;79,61;15;637;272;42,70;-6,68;194;30,46;-3,08;11;1,73;-0,75;128;20,09;11,39;21;3,30;0,35;1;0,16;0,16;2;0,31;0,31;5;0,78;-0,31;0;0,00;0,00;3;0,47;0,47;;;;;;;;;;;;;;;
31043;Sitzendorf an der Schmida               ;1.780;78,43;41;1.355;328;24,21;-2,78;733;54,10;-3,55;58;4,28;-0,41;161;11,88;5,56;45;3,32;1,62;6;0,44;0,44;8;0,59;0,59;4;0,30;-0,18;4;0,30;0,30;8;0,59;0,59;;;;;;;;;;;;;;;
31051;Wullersdorf                             ;1.981;77,99;45;1.500;399;26,60;-2,02;623;41,53;-8,34;70;4,67;-0,87;268;17,87;7,44;77;5,13;2,13;9;0,60;0,60;12;0,80;0,80;5;0,33;-0,32;28;1,87;1,87;9;0,60;0,60;;;;;;;;;;;;;;;
31052;Zellerndorf                             ;2.137;79,83;46;1.660;564;33,98;-4,98;657;39,58;-5,76;77;4,64;-0,26;235;14,16;8,49;73;4,40;2,92;13;0,78;0,78;11;0,66;0,66;7;0,42;-0,05;6;0,36;0,36;17;1,02;1,02;;;;;;;;;;;;;;;
31053;Ziersdorf                               ;2.628;81,39;72;2.067;590;28,54;-5,65;842;40,74;-6,09;121;5,85;-1,02;309;14,95;7,75;129;6,24;4,68;11;0,53;0,53;25;1,21;1,21;9;0,44;0,11;9;0,44;0,44;22;1,06;1,06;;;;;;;;;;;;;;;
311;Bezirk Horn                             ;26.056;85,54;575;21.712;5.183;23,87;-3,64;10.519;48,45;-6,41;1.319;6,07;-0,30;2.800;12,90;6,43;1.123;5,17;3,35;129;0,59;0,59;222;1,02;1,02;82;0,38;-0,14;101;0,47;0,47;234;1,08;1,08;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;27;1.766;376;21,29;21,29;865;48,98;48,98;179;10,14;10,14;199;11,27;11,27;58;3,28;3,28;3;0,17;0,17;31;1,76;1,76;6;0,34;0,34;6;0,34;0,34;43;2,43;2,43;;;;;;;;;;;;;;;
31101;Altenburg                               ;639;82,79;13;516;115;22,29;-5,87;234;45,35;-6,95;22;4,26;-1,10;86;16,67;9,77;33;6,40;4,68;5;0,97;0,97;6;1,16;1,16;5;0,97;0,59;3;0,58;0,58;7;1,36;1,36;;;;;;;;;;;;;;;
31102;Brunn an der Wild                       ;714;83,47;18;578;64;11,07;-1,62;400;69,20;-5,24;18;3,11;0,02;57;9,86;4,37;26;4,50;1,76;5;0,87;0,87;3;0,52;0,52;1;0,17;-0,34;2;0,35;0,35;2;0,35;0,35;;;;;;;;;;;;;;;
31103;Burgschleinitz - Kühnring               ;1.103;82,50;25;885;186;21,02;-4,85;493;55,71;-2,08;48;5,42;-0,42;98;11,07;5,44;44;4,97;3,45;3;0,34;0,34;7;0,79;0,79;3;0,34;-0,85;0;0,00;0,00;3;0,34;0,34;;;;;;;;;;;;;;;
31104;Drosendorf - Zissersdorf                ;1.050;77,14;13;797;168;21,08;-3,13;382;47,93;-7,64;37;4,64;-0,44;147;18,44;8,88;40;5,02;2,11;1;0,13;0,13;11;1,38;1,38;3;0,38;0,26;0;0,00;0,00;8;1,00;1,00;;;;;;;;;;;;;;;
31105;Eggenburg                               ;2.844;74,30;50;2.063;703;34,08;-1,94;728;35,29;-6,30;147;7,13;-2,00;263;12,75;5,68;145;7,03;4,55;15;0,73;0,73;23;1,11;1,11;8;0,39;-0,13;7;0,34;0,34;24;1,16;1,16;;;;;;;;;;;;;;;
31106;Gars am Kamp                            ;2.950;74,98;49;2.163;579;26,77;-3,44;870;40,22;-7,00;169;7,81;-0,88;348;16,09;7,99;107;4,95;2,92;18;0,83;0,83;27;1,25;1,25;6;0,28;-0,52;13;0,60;0,60;26;1,20;1,20;;;;;;;;;;;;;;;
31107;Geras                                   ;1.138;83,04;20;925;204;22,05;-2,30;514;55,57;-7,80;29;3,14;-0,09;107;11,57;7,10;43;4,65;3,19;3;0,32;0,32;8;0,86;0,86;3;0,32;-0,30;9;0,97;0,97;5;0,54;0,54;;;;;;;;;;;;;;;
31109;Horn                                    ;5.210;73,55;130;3.702;934;25,23;-3,33;1.454;39,28;-8,77;356;9,62;-0,79;547;14,78;6,97;248;6,70;4,55;28;0,76;0,76;47;1,27;1,27;16;0,43;0,11;19;0,51;0,51;53;1,43;1,43;;;;;;;;;;;;;;;
31110;Irnfritz - Messern                      ;1.173;82,61;18;951;164;17,25;-5,57;539;56,68;-4,73;18;1,89;-1,01;157;16,51;8,73;52;5,47;3,29;3;0,32;0,32;7;0,74;0,74;4;0,42;-0,41;4;0,42;0,42;3;0,32;0,32;;;;;;;;;;;;;;;
31111;Japons                                  ;620;81,94;10;498;53;10,64;-0,34;347;69,68;-12,67;16;3,21;1,05;53;10,64;7,31;19;3,82;3,23;4;0,80;0,80;4;0,80;0,80;1;0,20;0,20;0;0,00;0,00;1;0,20;0,20;;;;;;;;;;;;;;;
31113;Langau                                  ;601;84,69;16;493;132;26,77;-1,21;236;47,87;-6,73;18;3,65;-0,85;56;11,36;3,34;28;5,68;3,72;4;0,81;0,81;4;0,81;0,81;3;0,61;0,22;7;1,42;1,42;5;1,01;1,01;;;;;;;;;;;;;;;
31114;Meiseldorf                              ;779;80,10;15;609;170;27,91;-7,35;311;51,07;-3,63;21;3,45;0,16;73;11,99;8,20;20;3,28;2,62;1;0,16;0,16;1;0,16;0,16;3;0,49;0,33;6;0,99;0,99;3;0,49;0,49;;;;;;;;;;;;;;;
31117;Pernegg                                 ;590;82,37;18;468;80;17,09;-5,80;271;57,91;-7,86;22;4,70;1,61;58;12,39;8,27;25;5,34;4,10;2;0,43;0,43;3;0,64;0,64;2;0,43;-0,39;0;0,00;0,00;5;1,07;1,07;;;;;;;;;;;;;;;
31119;Röhrenbach                              ;487;79,47;13;374;29;7,75;-0,11;263;70,32;-9,08;25;6,68;-0,10;34;9,09;6,65;10;2,67;1,31;3;0,80;0,80;3;0,80;0,80;0;0,00;-0,27;1;0,27;0,27;6;1,60;1,60;;;;;;;;;;;;;;;
31120;Röschitz                                ;887;84,89;27;726;200;27,55;-5,92;368;50,69;-4,33;23;3,17;-0,18;72;9,92;4,70;33;4,55;3,48;4;0,55;0,55;4;0,55;0,55;5;0,69;0,15;10;1,38;1,38;7;0,96;0,96;;;;;;;;;;;;;;;
31121;Rosenburg - Mold                        ;717;74,90;14;523;108;20,65;-4,44;244;46,65;-9,49;23;4,40;-0,51;86;16,44;7,84;38;7,27;5,52;3;0,57;0,57;5;0,96;0,96;3;0,57;-0,31;3;0,57;0,57;10;1,91;1,91;;;;;;;;;;;;;;;
31123;St. Bernhard - Frauenhofen              ;1.035;81,84;29;818;136;16,63;1,40;501;61,25;-6,99;29;3,55;-2,12;78;9,54;3,64;42;5,13;3,48;13;1,59;1,59;9;1,10;1,10;1;0,12;-0,47;3;0,37;0,37;6;0,73;0,73;;;;;;;;;;;;;;;
31124;Sigmundsherberg                         ;1.470;84,15;22;1.215;478;39,34;-5,74;489;40,25;-3,00;42;3,46;0,13;132;10,86;5,54;48;3,95;3,08;7;0,58;0,58;6;0,49;0,49;1;0,08;-0,24;6;0,49;0,49;6;0,49;0,49;;;;;;;;;;;;;;;
31129;Weitersfeld                             ;1.390;83,60;32;1.130;167;14,78;-2,03;763;67,52;-6,16;40;3,54;0,28;98;8,67;5,32;41;3,63;2,31;3;0,27;0,27;8;0,71;0,71;3;0,27;0,09;0;0,00;0,00;7;0,62;0,62;;;;;;;;;;;;;;;
31130;Straning - Grafenberg                   ;659;80,12;16;512;137;26,76;-3,77;247;48,24;-4,43;37;7,23;0,55;51;9,96;5,57;23;4,49;2,96;1;0,20;0,20;5;0,98;0,98;5;0,98;-0,36;2;0,39;0,39;4;0,78;0,78;;;;;;;;;;;;;;;
312;Bezirk Korneuburg                       ;57.709;83,09;1.108;46.844;13.236;28,26;-5,78;15.163;32,37;-6,63;4.744;10,13;-0,72;8.365;17,86;7,75;2.824;6,03;3,89;369;0,79;0,79;1.168;2,49;2,49;288;0,61;-0,18;166;0,35;0,35;521;1,11;1,11;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;51;3.915;1.110;28,35;28,35;1.357;34,66;34,66;474;12,11;12,11;506;12,92;12,92;158;4,04;4,04;39;1,00;1,00;168;4,29;4,29;21;0,54;0,54;15;0,38;0,38;67;1,71;1,71;;;;;;;;;;;;;;;
31201;Bisamberg                               ;3.306;76,10;53;2.463;575;23,35;-4,06;914;37,11;-5,56;330;13,40;-2,46;352;14,29;5,64;122;4,95;3,04;19;0,77;0,77;100;4,06;4,06;19;0,77;-0,19;9;0,37;0,37;23;0,93;0,93;;;;;;;;;;;;;;;
31202;Enzersfeld                              ;1.252;80,91;28;985;285;28,93;-7,49;340;34,52;-5,76;68;6,90;-1,34;191;19,39;8,40;58;5,89;4,87;10;1,02;1,02;18;1,83;1,83;5;0,51;-0,10;1;0,10;0,10;9;0,91;0,91;;;;;;;;;;;;;;;
31203;Ernstbrunn                              ;2.537;76,47;53;1.887;431;22,84;-4,09;780;41,34;-11,32;119;6,31;-0,37;357;18,92;10,56;116;6,15;4,15;23;1,22;1,22;21;1,11;1,11;9;0,48;-0,20;9;0,48;0,48;22;1,17;1,17;;;;;;;;;;;;;;;
31204;Großmugl                                ;1.289;77,50;40;959;168;17,52;-2,65;480;50,05;-9,00;77;8,03;0,79;133;13,87;6,11;62;6,47;4,40;5;0,52;0,52;16;1,67;1,67;4;0,42;-0,10;0;0,00;0,00;14;1,46;1,46;;;;;;;;;;;;;;;
31205;Großrußbach                             ;1.627;79,59;27;1.268;260;20,50;-0,08;566;44,64;-9,81;90;7,10;-1,43;235;18,53;8,47;73;5,76;3,61;8;0,63;0,63;9;0,71;0,71;6;0,47;-0,22;5;0,39;0,39;16;1,26;1,26;;;;;;;;;;;;;;;
31206;Hagenbrunn                              ;1.439;80,33;20;1.136;289;25,44;-3,38;401;35,30;-9,43;96;8,45;-1,64;228;20,07;9,62;85;7,48;4,75;8;0,70;0,70;17;1,50;1,50;2;0,18;-0,46;2;0,18;0,18;8;0,70;0,70;;;;;;;;;;;;;;;
31207;Harmannsdorf                            ;3.077;78,65;66;2.354;568;24,13;-4,04;877;37,26;-7,80;190;8,07;-0,75;448;19,03;7,28;166;7,05;4,50;8;0,34;0,34;55;2,34;2,34;6;0,25;-0,17;19;0,81;0,81;17;0,72;0,72;;;;;;;;;;;;;;;
31208;Hausleiten                              ;2.727;80,16;59;2.127;499;23,46;-4,68;837;39,35;-8,82;124;5,83;-0,78;445;20,92;10,21;134;6,30;3,69;14;0,66;0,66;42;1,97;1,97;6;0,28;-0,44;3;0,14;0,14;23;1,08;1,08;;;;;;;;;;;;;;;
31213;Korneuburg                              ;8.976;71,51;150;6.269;1.840;29,35;-8,49;1.628;25,97;-5,98;830;13,24;-0,12;1.193;19,03;8,01;422;6,73;4,98;50;0,80;0,80;176;2,81;2,81;41;0,65;-0,17;12;0,19;0,19;77;1,23;1,23;;;;;;;;;;;;;;;
31214;Langenzersdorf                          ;6.204;74,71;109;4.526;1.133;25,03;-4,13;1.362;30,09;-8,27;648;14,32;-1,27;741;16,37;5,51;313;6,92;4,72;48;1,06;1,06;159;3,51;3,51;35;0,77;0,08;24;0,53;0,53;63;1,39;1,39;;;;;;;;;;;;;;;
31215;Leitzersdorf                            ;980;81,33;20;777;139;17,89;-6,34;352;45,30;-5,22;49;6,31;-2,71;151;19,43;10,80;53;6,82;3,47;12;1,54;1,54;6;0,77;0,77;0;0,00;-0,77;1;0,13;0,13;14;1,80;1,80;;;;;;;;;;;;;;;
31216;Leobendorf                              ;3.704;76,57;68;2.768;808;29,19;-2,58;897;32,41;-6,67;306;11,05;-1,87;465;16,80;6,47;152;5,49;3,68;18;0,65;0,65;89;3,22;3,22;13;0,47;-0,59;4;0,14;0,14;16;0,58;0,58;;;;;;;;;;;;;;;
31224;Rußbach                                 ;1.109;85,66;32;918;218;23,75;-4,48;387;42,16;-5,43;47;5,12;0,09;172;18,74;7,47;53;5,77;3,80;8;0,87;0,87;10;1,09;1,09;7;0,76;-0,44;2;0,22;0,22;14;1,53;1,53;;;;;;;;;;;;;;;
31226;Sierndorf                               ;2.874;78,74;39;2.224;504;22,66;-5,92;915;41,14;-7,11;158;7,10;-1,03;413;18,57;9,71;143;6,43;4,11;17;0,76;0,76;27;1,21;1,21;21;0,94;-0,06;8;0,36;0,36;18;0,81;0,81;;;;;;;;;;;;;;;
31227;Spillern                                ;1.539;79,47;24;1.199;477;39,78;-9,43;232;19,35;-5,34;116;9,67;-0,19;240;20,02;10,33;74;6,17;3,64;8;0,67;0,67;27;2,25;2,25;11;0,92;0,13;6;0,50;0,50;8;0,67;0,67;;;;;;;;;;;;;;;
31228;Stetteldorf am Wagram                   ;837;82,08;18;669;131;19,58;-6,22;329;49,18;-6,97;41;6,13;0,97;118;17,64;10,05;20;2,99;0,87;4;0,60;0,60;11;1,64;1,64;3;0,45;-0,16;3;0,45;0,45;9;1,35;1,35;;;;;;;;;;;;;;;
31229;Stetten                                 ;964;79,98;20;751;255;33,95;-11,12;202;26,90;-5,56;69;9,19;-0,27;150;19,97;10,77;34;4,53;3,61;8;1,07;1,07;20;2,66;2,66;8;1,07;0,68;0;0,00;0,00;5;0,67;0,67;;;;;;;;;;;;;;;
31230;Stockerau                               ;12.001;74,05;211;8.676;3.348;38,59;-7,63;1.912;22,04;-5,33;824;9,50;-0,65;1.662;19,16;9,11;509;5,87;3,61;55;0,63;0,63;181;2,09;2,09;63;0,73;-0,07;40;0,46;0,46;82;0,95;0,95;;;;;;;;;;;;;;;
31234;Niederhollabrunn                        ;1.267;78,37;20;973;198;20,35;-4,52;395;40,60;-7,60;88;9,04;-1,85;165;16,96;7,50;77;7,91;5,03;7;0,72;0,72;16;1,64;1,64;8;0,82;-0,31;3;0,31;0,31;16;1,64;1,64;;;;;;;;;;;;;;;
313;Bezirk Krems-Land                       ;45.078;86,67;1.105;37.962;9.865;25,99;-4,13;15.531;40,91;-7,77;2.554;6,73;-0,27;6.083;16,02;7,47;2.207;5,81;3,51;287;0,76;0,76;496;1,31;1,31;224;0,59;-0,01;134;0,35;0,35;581;1,53;1,53;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;41;2.461;535;21,74;21,74;1.044;42,42;42,42;291;11,82;11,82;318;12,92;12,92;122;4,96;4,96;23;0,93;0,93;68;2,76;2,76;11;0,45;0,45;11;0,45;0,45;38;1,54;1,54;;;;;;;;;;;;;;;
31301;Aggsbach                                ;585;80,00;8;460;183;39,78;-2,99;129;28,04;-11,96;18;3,91;-2,26;89;19,35;12,33;22;4,78;2,01;2;0,43;0,43;7;1,52;1,52;5;1,09;0,66;1;0,22;0,22;4;0,87;0,87;;;;;;;;;;;;;;;
31302;Albrechtsberg an der großen Krems       ;914;83,81;27;739;203;27,47;-4,76;368;49,80;-5,42;18;2,44;-0,86;105;14,21;9,85;24;3,25;0,87;3;0,41;0,41;9;1,22;1,22;2;0,27;-0,13;0;0,00;0,00;7;0,95;0,95;;;;;;;;;;;;;;;
31303;Bergern im Dunkelsteinerwald            ;1.027;85,30;29;847;207;24,44;-6,51;376;44,39;-5,49;40;4,72;-0,26;121;14,29;6,04;52;6,14;3,96;10;1,18;1,18;7;0,83;0,83;9;1,06;0,33;6;0,71;0,71;19;2,24;2,24;;;;;;;;;;;;;;;
31304;Dürnstein                               ;770;85,32;19;638;136;21,32;-2,31;318;49,84;-9,78;40;6,27;0,79;93;14,58;7,22;30;4,70;2,82;4;0,63;0,63;7;1,10;1,10;2;0,31;0,15;0;0,00;0,00;8;1,25;1,25;;;;;;;;;;;;;;;
31308;Grafenegg                               ;2.396;81,72;61;1.897;486;25,62;-2,78;806;42,49;-7,91;126;6,64;0,13;288;15,18;6,36;99;5,22;3,34;19;1,00;1,00;33;1,74;1,74;13;0,69;0,31;1;0,05;0,05;26;1,37;1,37;;;;;;;;;;;;;;;
31309;Furth bei Göttweig                      ;2.224;79,23;43;1.719;571;33,22;-4,45;583;33,92;-6,58;115;6,69;-1,28;265;15,42;6,47;102;5,93;4,37;9;0,52;0,52;18;1,05;1,05;17;0,99;0,30;8;0,47;0,47;31;1,80;1,80;;;;;;;;;;;;;;;
31310;Gedersdorf                              ;1.673;84,28;37;1.373;470;34,23;-4,01;411;29,93;-10,32;61;4,44;-0,94;277;20,17;9,86;86;6,26;4,32;15;1,09;1,09;16;1,17;1,17;10;0,73;0,06;2;0,15;0,15;25;1,82;1,82;;;;;;;;;;;;;;;
31311;Gföhl                                   ;3.079;77,95;97;2.303;652;28,31;-5,41;930;40,38;-8,81;124;5,38;0,63;376;16,33;7,87;126;5,47;3,89;25;1,09;1,09;15;0,65;0,65;8;0,35;-0,11;9;0,39;0,39;38;1,65;1,65;;;;;;;;;;;;;;;
31315;Hadersdorf - Kammern                    ;1.571;81,22;39;1.237;432;34,92;-5,99;372;30,07;-7,72;90;7,28;0,95;222;17,95;8,58;79;6,39;4,87;8;0,65;0,65;14;1,13;1,13;8;0,65;-0,15;1;0,08;0,08;11;0,89;0,89;;;;;;;;;;;;;;;
31319;Jaidhof                                 ;936;83,01;30;747;121;16,20;-3,74;419;56,09;-6,65;39;5,22;0,23;92;12,32;4,98;52;6,96;4,47;4;0,54;0,54;0;0,00;0,00;11;1,47;0,92;2;0,27;0,27;7;0,94;0,94;;;;;;;;;;;;;;;
31321;Krumau am Kamp                          ;649;80,12;18;502;125;24,90;-2,43;206;41,04;-10,84;16;3,19;-2,16;112;22,31;11,62;31;6,18;3,61;3;0,60;0,60;2;0,40;0,40;3;0,60;0,60;0;0,00;0,00;4;0,80;0,80;;;;;;;;;;;;;;;
31322;Langenlois                              ;5.796;80,66;108;4.567;1.081;23,67;-4,65;1.736;38,01;-5,55;385;8,43;-1,17;835;18,28;8,15;304;6,66;2,50;37;0,81;0,81;80;1,75;1,75;20;0,44;-0,29;23;0,50;0,50;66;1,45;1,45;;;;;;;;;;;;;;;
31323;Lengenfeld                              ;1.137;86,02;23;955;236;24,71;-4,78;377;39,48;-8,18;69;7,23;-1,26;155;16,23;7,85;55;5,76;3,26;12;1,26;1,26;13;1,36;1,36;10;1,05;0,51;12;1,26;1,26;16;1,68;1,68;;;;;;;;;;;;;;;
31324;Lichtenau im Waldviertel                ;1.685;82,85;48;1.348;238;17,66;-4,22;773;57,34;-6,29;34;2,52;-0,84;189;14,02;6,93;75;5,56;3,77;4;0,30;0,30;4;0,30;0,30;8;0,59;0,14;5;0,37;0,37;18;1,34;1,34;;;;;;;;;;;;;;;
31326;Maria Laach am Jauerling                ;773;80,85;26;599;115;19,20;-0,80;295;49,25;-11,54;35;5,84;-1,25;86;14,36;6,96;42;7,01;4,49;1;0,17;0,17;5;0,83;0,83;7;1,17;0,38;0;0,00;0,00;13;2,17;2,17;;;;;;;;;;;;;;;
31327;Mautern an der Donau                    ;2.789;79,38;57;2.157;593;27,49;-1,16;727;33,70;-9,28;216;10,01;-0,50;373;17,29;5,98;137;6,35;4,09;17;0,79;0,79;37;1,72;1,72;11;0,51;-0,24;7;0,32;0,32;39;1,81;1,81;;;;;;;;;;;;;;;
31330;Mühldorf                                ;1.158;83,33;26;939;287;30,56;-5,22;406;43,24;-5,13;35;3,73;-0,57;115;12,25;6,27;56;5,96;3,55;7;0,75;0,75;6;0,64;0,64;3;0,32;-0,31;2;0,21;0,21;22;2,34;2,34;;;;;;;;;;;;;;;
31333;Paudorf                                 ;2.001;77,31;42;1.505;643;42,72;-6,64;402;26,71;-5,20;117;7,77;-0,09;225;14,95;8,17;56;3,72;1,80;12;0,80;0,80;27;1,79;1,79;8;0,53;0,08;2;0,13;0,13;13;0,86;0,86;;;;;;;;;;;;;;;
31336;Rastenfeld                              ;1.180;82,54;40;934;191;20,45;-0,39;411;44,00;-12,82;38;4,07;-0,98;181;19,38;8,85;81;8,67;6,52;7;0,75;0,75;8;0,86;0,86;2;0,21;-0,22;4;0,43;0,43;11;1,18;1,18;;;;;;;;;;;;;;;
31337;Rohrendorf bei Krems                    ;1.439;79,29;25;1.116;305;27,33;-3,63;411;36,83;-7,23;96;8,60;-2,59;201;18,01;10,20;67;6,00;3,83;2;0,18;0,18;13;1,16;1,16;4;0,36;-0,25;3;0,27;0,27;14;1,25;1,25;;;;;;;;;;;;;;;
31338;Rossatz - Arnsdorf                      ;916;80,68;22;717;187;26,08;-3,50;304;42,40;-10,25;39;5,44;-1,07;92;12,83;6,45;51;7,11;4,94;7;0,98;0,98;14;1,95;1,95;5;0,70;0,29;1;0,14;0,14;17;2,37;2,37;;;;;;;;;;;;;;;
31340;St. Leonhard am Hornerwald              ;976;78,89;18;752;133;17,69;-5,70;396;52,66;-8,58;36;4,79;1,24;102;13,56;5,94;50;6,65;5,07;11;1,46;1,46;7;0,93;0,93;7;0,93;0,14;4;0,53;0,53;6;0,80;0,80;;;;;;;;;;;;;;;
31343;Senftenberg                             ;1.632;78,92;35;1.253;391;31,21;-4,15;463;36,95;-7,25;85;6,78;-0,68;191;15,24;8,32;81;6,46;3,92;4;0,32;0,32;11;0,88;0,88;8;0,64;-0,05;2;0,16;0,16;17;1,36;1,36;;;;;;;;;;;;;;;
