	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	FPÖ	ÖVP	GRÜNE	KPÖ	LIF
305	41335	St.Stefan am Walde            	615	552	13	539	120	35	338	37	7	2
306	41336	St.Ulrich im Mühlkreis        	439	397	11	386	55	18	280	30	0	3
307	41337	St.Veit im Mühlkreis          	876	738	8	730	170	68	447	38	2	5
308	41338	Sarleinsbach                  	1664	1451	24	1427	215	120	1022	63	3	4
309	41339	Schlägl                       	1036	883	25	858	269	53	474	55	4	3
310	41340	Schönegg                      	401	365	3	362	113	14	221	11	2	1
311	41341	Schwarzenberg am Böhmerwald   	493	407	7	400	96	42	248	11	3	0
312	41342	Ulrichsberg                   	2276	1924	50	1874	527	190	1005	125	22	5
313	41400	Bezirk Schärding                     	41551	34843	604	34239	9012	4880	18271	1740	140	196
314	41401	Altschwendt                   	495	433	3	430	88	68	249	22	1	2
315	41402	Andorf                        	3594	2990	55	2935	980	443	1363	120	15	14
316	41403	Brunnenthal                   	1417	1186	17	1169	327	179	570	81	6	6
317	41404	Diersbach                     	1216	1015	16	999	214	169	553	50	6	7
318	41405	Dorf an der Pram              	717	622	7	615	143	57	386	27	2	0
319	41406	Eggerding                     	967	809	13	796	156	124	478	33	2	3
320	41407	Engelhartszell                	850	687	17	670	146	85	394	40	4	1
321	41408	Enzenkirchen                  	1296	1095	24	1071	348	183	515	21	2	2
322	41409	Esternberg                    	2015	1673	27	1646	247	278	1050	58	6	7
323	41410	Freinberg                     	996	794	8	786	231	83	445	19	4	4
324	41411	Kopfing im Innkreis           	1537	1282	34	1248	301	193	681	49	13	11
325	41412	Mayrhof                       	193	176	7	169	13	11	139	5	1	0
326	41413	Münzkirchen                   	1892	1575	29	1546	343	220	886	83	8	6
327	41414	Raab                          	1716	1425	29	1396	287	285	711	100	6	7
328	41415	Rainbach im Innkreis          	1121	969	17	952	226	123	561	34	3	5
329	41416	Riedau                        	1453	1222	20	1202	441	164	499	85	2	11
330	41417	St.Aegidi                     	1230	1082	16	1066	150	117	749	40	2	8
331	41418	St.Florian am Inn             	2208	1855	22	1833	695	214	789	111	9	15
332	41419	St.Marienkirchen bei Schärding	1349	1129	18	1111	205	205	634	59	3	5
333	41420	St.Roman                      	1268	1107	21	1086	122	134	780	33	10	7
334	41421	St.Willibald                  	847	732	16	716	210	138	343	18	1	6
335	41422	Schärding                     	3920	3134	58	3076	1140	427	1197	282	7	23
336	41423	Schardenberg                  	1619	1349	21	1328	236	147	882	54	3	6
337	41424	Sigharting                    	568	500	11	489	108	74	283	20	1	3
338	41425	Suben                         	869	748	6	742	202	109	384	36	3	8
339	41426	Taufkirchen an der Pram       	2110	1805	24	1781	652	232	795	90	7	5
340	41427	Vichtenstein                  	463	394	4	390	64	67	237	15	6	1
341	41428	Waldkirchen am Wesen          	992	869	25	844	200	107	500	29	0	8
342	41429	Wernstein am Inn              	1190	998	15	983	303	115	515	40	4	6
343	41430	Zell an der Pram              	1443	1188	24	1164	234	129	703	86	3	9
344	41500	Bezirk Steyr-Land                    	42986	37215	608	36607	13634	3298	16793	2468	150	264
345	41501	Adlwang                       	1117	958	13	945	208	134	523	61	12	7
346	41502	Aschach an der Steyr          	1549	1332	21	1311	405	106	666	116	10	8
347	41503	Bad Hall                      	3479	2825	55	2770	1007	342	1180	211	11	19
348	41504	Dietach                       	1841	1595	28	1567	556	118	736	129	9	19
349	41505	Gaflenz                       	1352	1186	21	1165	378	90	632	62	0	3
350	41506	Garsten                       	4705	4073	54	4019	1436	330	1802	399	18	34
351	41507	Großraming                    	2127	1904	32	1872	705	146	875	128	5	13
352	41508	Laussa                        	959	830	18	812	223	89	436	54	4	6
353	41509	Losenstein                    	1324	1139	23	1116	445	102	483	73	6	7
354	41510	Maria Neustift                	1150	1020	11	1009	205	68	697	34	3	2
355	41511	Pfarrkirchen bei Bad Hall     	1552	1327	22	1305	487	153	566	87	3	9
356	41512	Reichraming                   	1436	1280	14	1266	772	99	323	63	4	5
357	41513	Rohr im Kremstal              	850	742	12	730	227	67	393	39	0	4
358	41514	St.Ulrich bei Steyr           	2286	2004	34	1970	567	151	1048	173	6	25
359	41515	Schiedlberg                   	917	790	13	777	195	49	505	23	4	1
360	41516	Sierning                      	6499	5669	98	5571	2662	498	2042	303	23	43
361	41517	Ternberg                      	2498	2180	38	2142	720	205	1053	146	6	12
362	41518	Waldneukirchen                	1589	1389	29	1360	363	164	758	58	8	9
363	41519	Weyer-Land                    	1805	1591	26	1565	779	114	576	82	2	12
364	41520	Weyer-Markt                   	1789	1484	20	1464	673	115	538	117	7	14
365	41521	Wolfern                       	2162	1897	26	1871	621	158	961	110	9	12
