	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN
224	41118	Ried in der Riedmark          	2988	2466	44	2422	833	1141	173	194	23	12	46
225	41119	St.Georgen am Walde           	1640	1377	30	1347	586	598	77	43	24	3	16
226	41120	St.Georgen an der Gusen       	2849	2391	47	2344	613	1217	181	227	44	17	45
227	41121	St.Nikola an der Donau        	597	495	7	488	240	166	36	30	5	5	6
228	41122	St.Thomas am Blasenstein      	655	551	18	533	346	126	27	18	8	3	5
229	41123	Saxen                         	1302	1156	22	1134	416	349	248	71	18	7	25
230	41124	Schwertberg                   	3890	3228	69	3159	752	1649	344	286	38	20	70
231	41125	Waldhausen im Strudengau      	2197	1897	56	1841	811	735	121	105	33	3	33
232	41126	Windhaag bei Perg             	1030	887	18	869	501	216	58	61	16	1	16
233	41200	Bezirk Ried im Innkreis              	44141	33643	895	32748	13836	8349	5937	2657	908	216	845
234	41201	Andrichsfurt                  	539	425	13	412	240	47	78	25	7	4	11
235	41202	Antiesenhofen                 	794	599	18	581	210	189	76	41	51	3	11
236	41203	Aurolzmünster                 	2225	1527	45	1482	508	440	363	68	34	9	60
237	41204	Eberschwang                   	2527	2007	62	1945	609	716	341	161	53	12	53
238	41205	Eitzing                       	551	434	7	427	197	96	75	25	12	2	20
239	41206	Geiersberg                    	410	319	8	311	165	76	39	16	7	0	8
240	41207	Geinberg                      	999	746	17	729	292	166	166	53	26	6	20
241	41208	Gurten                        	857	680	12	668	314	160	112	45	17	3	17
242	41209	Hohenzell                     	1565	1250	35	1215	652	191	167	112	41	9	43
243	41210	Kirchdorf am Inn              	457	385	13	372	211	72	49	16	13	2	9
244	41211	Kirchheim im Innkreis         	524	415	8	407	211	87	64	23	8	1	13
245	41212	Lambrechten                   	1001	801	30	771	413	156	130	35	16	6	15
246	41213	Lohnsburg am Kobernaußerwald  	1784	1368	34	1334	645	279	244	92	23	9	42
247	41214	Mehrnbach                     	1818	1349	27	1322	504	280	369	101	27	7	34
248	41215	Mettmach                      	1926	1439	53	1386	558	376	285	65	53	13	36
249	41216	Mörschwang                    	225	189	7	182	116	21	21	18	5	0	1
250	41217	Mühlheim am Inn               	507	420	6	414	154	149	49	39	14	4	5
251	41218	Neuhofen im Innkreis          	1649	1298	35	1263	545	334	186	139	30	4	25
252	41219	Obernberg am Inn              	1224	759	18	741	286	214	133	53	27	3	25
253	41220	Ort im Innkreis               	896	676	18	658	290	121	164	40	20	1	22
254	41221	Pattigham                     	634	532	13	519	268	90	91	36	16	5	13
255	41222	Peterskirchen                 	541	447	17	430	271	41	70	30	7	6	5
256	41223	Pramet                        	771	564	19	545	214	167	101	35	8	5	15
257	41224	Reichersberg                  	1054	781	17	764	362	173	144	49	11	4	21
258	41225	Ried im Innkreis              	8469	6168	124	6044	1966	1758	1174	753	208	44	141
259	41226	St.Georgen b. Obernberg am Inn	451	376	8	368	246	37	36	42	3	1	3
260	41227	St.Marienkirchen am Hausruck  	568	485	15	470	235	66	110	30	12	6	11
261	41228	St.Martin im Innkreis         	1207	884	20	864	315	230	209	69	16	3	22
262	41229	Schildorn                     	802	641	8	633	291	214	69	30	8	9	12
263	41230	Senftenbach                   	563	456	18	438	177	108	97	36	7	5	8
264	41231	Taiskirchen im Innkreis       	1824	1471	54	1417	730	334	159	117	32	6	39
265	41232	Tumeltsham                    	1127	911	39	872	373	150	195	108	25	2	19
266	41233	Utzenaich                     	1123	893	16	877	390	221	149	49	30	13	25
267	41234	Waldzell                      	1613	1213	42	1171	514	409	133	60	26	8	21
268	41235	Weilbach                      	482	374	8	366	216	69	44	25	6	0	6
269	41236	Wippenham                     	434	361	11	350	148	112	45	21	9	1	14
270	41300	Bezirk Rohrbach                      	43732	35330	975	34355	18003	8714	3006	2652	822	271	887
271	41301	Afiesl                        	323	293	7	286	145	92	14	16	3	7	9
272	41302	Ahorn                         	388	331	7	324	185	72	34	13	8	6	6
273	41303	Aigen im Mühlkreis            	1468	1106	42	1064	486	304	105	102	30	5	32
274	41304	Altenfelden                   	1650	1298	60	1238	557	316	150	98	49	13	55
275	41305	Arnreit                       	827	696	19	677	431	102	61	39	22	5	17
276	41306	Atzesberg                     	356	309	6	303	215	31	19	14	9	5	10
277	41307	Auberg                        	411	317	8	309	185	50	38	16	6	1	13
278	41308	Berg bei Rohrbach             	2049	1634	44	1590	779	359	160	185	50	10	47
279	41309	Haslach an der Mühl           	2052	1643	50	1593	588	637	124	163	38	11	32
280	41310	Helfenberg                    	775	670	17	653	342	147	65	52	10	11	26
281	41311	Hörbich                       	307	261	11	250	171	29	27	8	10	0	5
282	41312	Hofkirchen im Mühlkreis       	1125	898	23	875	485	194	60	88	19	14	15
283	41313	Julbach                       	1233	1057	42	1015	444	401	60	54	22	8	26
284	41314	Kirchberg ob der Donau        	848	690	6	684	328	205	63	47	12	10	19
285	41315	Klaffer am Hochficht          	992	797	26	771	320	333	59	33	9	5	12
286	41316	Kleinzell im Mühlkreis        	1115	894	30	864	377	285	85	75	14	6	22
287	41317	Kollerschlag                  	1115	880	18	862	488	234	77	24	15	1	23
288	41318	Lembach im Mühlkreis          	1198	972	30	942	470	234	104	70	22	4	38
289	41319	Lichtenau im Mühlkreis        	428	347	11	336	201	71	24	17	9	1	13
290	41320	Nebelberg                     	487	435	7	428	259	124	17	17	5	2	4
291	41321	Neufelden                     	941	723	19	704	343	185	54	81	14	5	22
292	41322	Niederkappel                  	803	664	19	645	393	136	65	26	6	1	18
293	41323	Niederwaldkirchen             	1340	1078	20	1058	610	209	82	91	32	9	25
294	41324	Oberkappel                    	507	398	9	389	255	63	29	12	19	3	8
295	41325	Oepping                       	1224	995	16	979	537	239	69	74	29	9	22
296	41326	Peilstein im Mühlviertel      	1260	1052	36	1016	564	280	82	49	19	2	20
297	41327	Pfarrkirchen im Mühlkreis     	1098	873	15	858	547	137	74	54	22	4	20
298	41328	Putzleinsdorf                 	1175	894	26	868	526	130	93	52	28	9	30
299	41329	Neustift im Mühlkreis         	1104	860	12	848	520	180	61	54	15	1	17
300	41330	Rohrbach in Oberösterreich    	1864	1523	52	1471	701	326	150	217	30	16	31
301	41331	St.Johann am Wimberg          	733	603	14	589	315	128	62	40	23	3	18
302	41332	St.Martin im Mühlkreis        	2693	2181	54	2127	1006	590	182	232	49	16	52
303	41333	St.Oswald bei Haslach         	410	374	9	365	195	114	21	24	7	1	3
304	41334	St.Peter am Wimberg           	1311	1095	38	1057	644	191	95	74	19	3	31
305	41335	St.Stefan am Walde            	638	554	17	537	288	138	39	43	16	7	6
306	41336	St.Ulrich im Mühlkreis        	468	384	10	374	225	56	34	47	5	3	4
307	41337	St.Veit im Mühlkreis          	924	734	12	722	360	175	83	52	20	7	25
308	41338	Sarleinsbach                  	1722	1393	35	1358	866	236	118	81	24	7	26
309	41339	Schlägl                       	1076	848	25	823	413	254	70	50	14	6	16
310	41340	Schönegg                      	420	362	8	354	188	121	21	9	1	1	13
311	41341	Schwarzenberg am Böhmerwald   	494	391	10	381	216	98	32	15	13	1	6
312	41342	Ulrichsberg                   	2380	1823	55	1768	835	508	144	144	55	32	50
313	41400	Bezirk Schärding                     	42741	33388	821	32567	14888	8382	5418	1939	940	218	782
314	41401	Altschwendt                   	488	408	6	402	190	98	58	27	16	0	13
315	41402	Andorf                        	3739	2898	51	2847	1052	969	490	180	89	13	54
316	41403	Brunnenthal                   	1487	1130	25	1105	466	286	200	105	13	10	25
317	41404	Diersbach                     	1226	1027	24	1003	480	234	135	64	47	11	32
318	41405	Dorf an der Pram              	760	640	32	608	340	155	54	40	5	4	10
319	41406	Eggerding                     	979	767	23	744	385	145	126	45	28	4	11
320	41407	Engelhartszell                	831	633	22	611	313	139	84	36	16	6	17
321	41408	Enzenkirchen                  	1366	1112	29	1083	391	419	182	30	36	9	16
322	41409	Esternberg                    	2076	1620	35	1585	869	259	288	62	39	12	56
323	41410	Freinberg                     	1020	778	19	759	399	214	85	24	15	3	19
324	41411	Kopfing im Innkreis           	1579	1236	39	1197	587	261	206	61	43	10	29
325	41412	Mayrhof                       	190	170	4	166	113	16	28	5	0	0	4
326	41413	Münzkirchen                   	1953	1508	34	1474	754	289	275	75	41	9	31
327	41414	Raab                          	1783	1393	45	1348	545	283	291	120	65	10	34
328	41415	Rainbach im Innkreis          	1133	933	25	908	466	226	138	42	15	4	17
329	41416	Riedau                        	1487	1111	34	1077	369	417	171	69	25	5	21
330	41417	St.Aegidi                     	1248	1063	34	1029	631	147	142	52	26	7	24
331	41418	St.Florian am Inn             	2299	1786	21	1765	642	601	316	110	43	14	39
332	41419	St.Marienkirchen bei Schärding	1412	1045	28	1017	469	193	203	88	24	9	31
333	41420	St.Roman                      	1328	1080	27	1053	659	105	176	32	45	11	25
334	41421	St.Willibald                  	887	732	23	709	306	197	105	31	49	5	16
335	41422	Schärding                     	3894	2749	46	2703	833	942	553	239	55	17	64
336	41423	Schardenberg                  	1687	1297	24	1273	756	203	178	61	31	7	37
337	41424	Sigharting                    	606	517	15	502	290	75	78	15	37	1	6
338	41425	Suben                         	931	711	8	703	299	199	104	45	22	1	33
339	41426	Taufkirchen an der Pram       	2170	1692	52	1640	626	567	277	91	40	8	31
340	41427	Vichtenstein                  	469	369	16	353	191	52	74	10	11	5	10
341	41428	Waldkirchen am Wesen          	1023	870	26	844	426	218	120	28	18	3	31
342	41429	Wernstein am Inn              	1185	924	21	903	435	250	118	47	25	5	23
343	41430	Zell an der Pram              	1505	1189	33	1156	606	223	163	105	21	15	23
344	41500	Bezirk Steyr-Land                    	45109	36646	783	35863	13599	13057	3753	3169	1056	257	972
345	41501	Adlwang                       	1229	979	17	962	469	200	146	74	36	5	32
346	41502	Aschach an der Steyr          	1649	1337	18	1319	602	389	110	130	39	14	35
347	41503	Bad Hall                      	3632	2762	63	2699	927	955	354	258	128	24	53
348	41504	Dietach                       	1973	1586	37	1549	576	541	153	181	50	16	32
349	41505	Gaflenz                       	1405	1175	30	1145	559	341	99	85	37	10	14
350	41506	Garsten                       	4995	4068	84	3984	1443	1409	411	472	97	30	122
351	41507	Großraming                    	2192	1897	43	1854	757	698	147	152	36	11	53
352	41508	Laussa                        	990	838	22	816	355	242	78	63	40	6	32
353	41509	Losenstein                    	1353	1080	24	1056	387	423	99	91	28	2	26
354	41510	Maria Neustift                	1234	1048	29	1019	592	212	102	61	12	6	34
355	41511	Pfarrkirchen bei Bad Hall     	1632	1284	26	1258	429	437	180	118	41	10	43
356	41512	Reichraming                   	1460	1231	13	1218	243	732	97	83	21	13	29
357	41513	Rohr im Kremstal              	916	766	10	756	323	261	68	67	18	2	17
358	41514	St.Ulrich bei Steyr           	2428	1992	39	1953	826	567	198	242	48	14	58
359	41515	Schiedlberg                   	965	780	14	766	449	167	70	44	14	4	18
360	41516	Sierning                      	6944	5602	121	5481	1537	2564	683	375	158	29	135
361	41517	Ternberg                      	2574	2039	47	1992	827	669	187	181	65	12	51
362	41518	Waldneukirchen                	1652	1382	28	1354	629	364	156	94	59	12	40
363	41519	Weyer-Land                    	1781	1516	40	1476	462	687	121	121	31	11	43
364	41520	Weyer-Markt                   	1787	1379	35	1344	392	595	143	113	43	11	47
365	41521	Wolfern                       	2318	1905	43	1862	815	604	151	164	55	15	58
366	41600	Bezirk Urfahr-Umgebung               	61583	50211	1307	48904	20086	14965	4658	6309	1157	393	1336
367	41601	Alberndorf in der Riedmark    	2818	2344	66	2278	1011	641	260	239	36	23	68
368	41602	Altenberg bei Linz            	3262	2736	50	2686	1339	624	245	329	72	19	58
369	41603	Bad Leonfelden                	3028	2506	92	2414	1228	537	225	242	62	22	98
370	41604	Eidenberg                     	1434	1166	35	1131	614	243	92	122	22	10	28
371	41605	Engerwitzdorf                 	6136	4955	146	4809	1555	1722	535	682	124	31	160
372	41606	Feldkirchen an der Donau      	4049	3409	109	3300	1241	1192	329	309	125	18	86
