GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	KPÖ	LIF
G70926	Schwaz	8692	6946	147	6799	2863	2147	685	913	43	148
G70927	Schwendau	1002	757	12	745	512	111	71	39	2	10
G70928	Stans	1335	1143	21	1122	604	241	125	123	3	26
G70929	Steinberg am Rofan	224	175	1	174	123	29	15	3	4	0
G70930	Strass im Zillertal	555	483	4	479	326	77	23	41	4	8
G70931	Stumm	1248	990	17	973	543	263	75	82	4	6
G70932	Stummerberg	578	388	2	386	266	78	22	19	0	1
G70933	Terfens	1407	1185	28	1157	586	245	138	135	13	40
G70934	Tux	1349	1117	19	1098	802	160	66	53	4	13
G70935	Uderns	1073	838	14	824	384	279	93	47	7	14
G70936	Vomp	3039	2524	50	2474	1198	680	265	270	15	46
G70937	Weer	1068	846	11	835	454	176	100	89	3	13
G70938	Weerberg	1580	1237	22	1215	840	169	122	58	10	16
G70939	Wiesing	1323	1100	20	1080	484	346	131	94	9	16
G70940	Zell am Ziller	1338	1032	16	1016	556	268	108	78	2	4
G70941	Zellberg	462	352	4	348	235	64	35	10	2	2
G7007A	Wahlkarten Innsbruck Ausland	0	1509	2	1507	704	248	68	458	5	24
G7007B	Wahlkarten Ibk Land Ausland	0	1765	7	1758	979	243	90	420	6	20
G7007C	Wahlkarten Unterland Ausland	0	1372	8	1364	791	244	75	228	4	22
G7007D	Wahlkarten Oberland Ausland	0	772	6	766	436	118	44	155	4	9
G7007E	Wahlkarten Osttirol Ausland	0	379	6	373	221	42	29	71	1	9
