GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	NEOS	FLÖ	GILT	KPÖ	PILZ	WEIßE
G70404	Going am Wilden Kaiser	1309	873	3	870	392	103	276	32	30	0	13	1	23	0
G70405	Hochfilzen	893	638	7	631	246	184	146	16	19	2	2	0	16	0
G70406	Hopfgarten im Brixental	4264	2885	23	2862	1409	422	715	83	115	2	27	8	78	3
G70407	Itter	890	636	4	632	315	103	138	16	30	0	5	1	23	1
G70408	Jochberg	1189	813	7	806	361	126	262	11	22	4	8	2	9	1
G70409	Kirchberg in Tirol	3683	2295	18	2277	1031	439	585	60	84	3	19	9	46	1
G70410	Kirchdorf in Tirol	2841	1854	7	1847	817	277	569	35	68	7	10	10	52	2
G70411	Kitzbühel	5901	3432	33	3399	1460	558	910	116	190	6	19	10	122	8
G70412	Kössen	2981	1920	20	1900	978	203	537	48	69	1	14	4	42	4
G70413	Oberndorf in Tirol	1606	1080	13	1067	468	231	243	28	49	2	10	3	32	1
G70414	Reith bei Kitzbühel	1147	759	4	755	411	82	165	35	31	1	3	2	25	0
G70418	Schwendt	578	371	1	370	190	54	93	9	13	1	3	1	6	0
G70415	St. Jakob in Haus	562	379	6	373	180	61	83	18	17	0	3	1	8	2
G70416	St. Johann in Tirol	6559	4111	46	4065	1556	740	1202	161	208	7	22	18	140	11
G70417	St. Ulrich am Pillersee	1197	867	8	859	439	126	200	26	39	0	11	4	13	1
G70419	Waidring	1496	1054	4	1050	469	173	288	27	51	1	3	3	29	6
G70420	Westendorf	2770	1842	21	1821	928	325	386	45	71	3	6	3	54	0
G70501	Alpbach	1925	1397	13	1384	818	88	366	12	52	6	7	3	30	2
G70502	Angath	749	546	4	542	198	122	169	13	14	0	4	3	19	0
G70528	Angerberg	1457	1067	13	1054	437	179	298	35	59	2	5	3	36	0
G70503	Bad Häring	1995	1359	9	1350	445	406	313	60	52	6	13	4	49	2
G70504	Brandenberg	1220	892	4	888	521	137	184	10	19	4	1	2	9	1
G70505	Breitenbach am Inn	2641	1998	18	1980	908	298	556	45	94	2	20	4	53	0
G70506	Brixlegg	2238	1497	6	1491	561	262	436	59	74	5	22	5	62	5
G70508	Ebbs	4053	2748	24	2724	1186	389	850	67	108	6	29	8	78	3
G70509	Ellmau	1875	1221	13	1208	584	152	324	33	53	1	11	4	45	1
G70510	Erl	1043	737	14	723	401	90	171	18	17	0	1	2	21	2
G70511	Kirchbichl	4268	3006	25	2981	977	802	865	89	104	8	17	14	99	6
G70512	Kramsach	3724	2535	23	2512	849	497	740	131	145	8	25	11	94	12
G70513	Kufstein	12149	7561	59	7502	2392	1930	1954	372	385	25	78	53	297	16
G70514	Kundl	3197	2161	22	2139	725	519	626	48	104	7	19	14	72	5
G70515	Langkampfen	2993	2085	20	2065	737	450	654	44	72	8	30	6	62	2
G70516	Mariastein	252	175	1	174	65	27	45	13	14	0	4	0	5	1
G70517	Münster	2585	1789	12	1777	614	387	562	46	73	3	17	9	61	5
G70518	Niederndorf	1975	1381	15	1366	609	166	419	53	53	0	8	8	49	1
G70519	Niederndorferberg	484	316	1	315	171	12	99	11	13	0	0	1	7	1
G70520	Radfeld	1768	1249	8	1241	383	232	480	33	51	6	10	7	37	2
G70521	Rattenberg	263	163	1	162	33	33	60	5	11	0	2	2	16	0
G70522	Reith im Alpbachtal	2018	1342	12	1330	652	194	356	26	55	4	2	8	33	0
G70523	Rettenschöss	358	258	7	251	160	12	51	10	11	0	1	2	3	1
G70524	Scheffau am Wilden Kaiser	1017	692	5	687	395	64	163	8	27	2	10	3	14	1
G70525	Schwoich	1914	1422	6	1416	664	221	365	33	58	4	19	7	42	3
G70526	Söll	2644	1851	12	1839	938	276	419	64	76	2	16	6	35	7
G70527	Thiersee	2147	1554	13	1541	808	219	369	45	52	1	11	7	27	2
G70529	Walchsee	1298	879	5	874	409	65	296	31	36	1	9	4	23	0
G70530	Wildschönau	3156	2194	24	2170	1291	184	504	45	72	3	17	5	42	7
G70531	Wörgl	9089	5571	36	5535	1531	1597	1673	234	193	12	45	37	201	12
G70601	Faggen	274	180	1	179	100	24	37	4	8	0	1	0	5	0
G70602	Fendels	211	153	2	151	100	16	25	1	7	0	0	0	1	1
G70603	Fiss	712	483	4	479	312	32	65	5	41	1	11	1	9	2
G70604	Fließ	2327	1631	12	1619	730	363	403	25	60	0	6	9	21	2
G70605	Flirsch	766	540	9	531	202	140	117	12	33	1	2	7	16	1
G70606	Galtür	593	432	5	427	267	18	101	8	18	1	3	0	9	2
G70607	Grins	1097	737	6	731	307	178	152	18	47	2	8	4	14	1
G70608	Ischgl	1220	777	6	771	499	27	189	3	43	0	3	2	5	0
G70609	Kappl	2088	1545	12	1533	967	111	375	13	44	2	3	2	16	0
G70610	Kaunerberg	327	221	1	220	138	30	31	4	12	0	0	1	3	1
G70611	Kaunertal	461	353	8	345	232	46	25	3	31	0	2	3	3	0
G70612	Kauns	399	261	2	259	159	26	51	9	8	0	0	3	3	0
G70613	Ladis	412	219	4	215	99	18	58	7	16	3	4	1	9	0
G70614	Landeck	5639	3611	25	3586	1192	1019	818	144	260	4	32	21	91	5
G70615	Nauders	1125	768	9	759	398	102	198	11	30	1	2	2	12	3
G70616	Pettneu am Arlberg	1124	731	8	723	315	156	152	20	57	0	0	3	19	1
G70617	Pfunds	1969	1335	11	1324	661	217	335	26	42	2	11	5	20	5
G70618	Pians	613	464	2	462	212	93	93	12	30	0	3	3	15	1
G70619	Prutz	1309	874	10	864	339	189	183	49	51	6	12	7	21	7
G70620	Ried im Oberinntal	924	553	2	551	294	91	87	15	27	0	12	5	20	0
G70622	Schönwies	1318	937	6	931	307	324	185	20	53	1	6	3	31	1
